>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> ujana ni tumaini, uzee ni kumbukumbu. --	youth is hope, old age is remembrance. youth lives on expectation on what is coming; old people live more on remembering what's past rather than on what's coming.
>> ujana unapita sawa na upepo. --	youth passes by like a breeze.
>> ujanja huzidiana. --	cunning increases cunning. deceit increses deceit. ujanja: craftiness, cunning, deceit, fraud.
>> ujanja wa paa ulimpatiliza hasara. --	the ruse of the antelope caught up with it. even the best trick can cause damage.
>> ujanja wazaa ugomvi. --	cunning produces a quarrel.
>> ujasiri si kupigana na akishindaye. --	courage is not the same as fighting someone stronger than you. running away from a fight is not always a sign of fear.
>> uje, upitie mwamba, tukujue u rubani. --	and come, pass by this rock, so we may know that you are a pilot. prove your worth by deeds.
>> ujinga huo wa kuacha kinywa kutia puani. --	this stupidity of removing your finger from your mouth and putting it in your nose. in society the rules of good behavior are to be observed.
>> ujinga ni sumu ya maisha. --	ignorance is the poison of life. stupidity poisons life. ujinga, foolishness, ignorance, stupidity.
>> ujinga wa kuuza si ubaradhuli wa kununua. j; --	being foolish in selling is better than being duped in buying. the meaning is that if you buy what you do not need you'll sell what you need. you can sell with one eye but you need two eyes to buy without being cheated.
>> ujinga wa mtu ni werevu wake. --	a man's simplicity is [often] his shrewdness. the apparent silliness of a person is often disguised shrewdness
>> ujirani ni fedha katika kasha. j; v; --	having neighbors is [like having] money in a box. but also: help received from neighbors must be paid back by mutual services.
>> ujira wa mzazi aujua mungu. --	the wages of a parent are known by god. god knows what is due to parents.
>> uji ukiwa moto haupozwi kwa ncha ya ulimi. --	gruel, when it is hot, is not cooled by the point of the tongue.
>> ujualo ni hazina ya maisha yako. --	what you know is a treasure of your life.
>> ujuzi bila vitendo ni ujinga, sio mwendo. --	knowledge without deeds is stupidity, it's not a life.
>> ujuzi hauezeeki. --	knowledge never gets old. ujuzi, knowledge, wisdom, sagacity, practical experience.
>> ujuzi ni nguvu. --	knowledge is strength
>> ukajionee, kuambiliwa kuna uwongo. --	go and look for yourself, to be told is deceitful.
>> ukalamzi wa mtoto sawa na ule wa baba yake. --	the craftiness of the child is the same as its father's. ukalamzi:cunning, mischievousness.
>> ukali wa chui lakini watoto wananyonya. --	the leopard may be fierce, but the pups are sucking.
>> ukali wa moto ni kuuchochea. --	the fierceness of the fire is [caused by the fact that someone] stoked it up. moto: fire and sumu: poison, are often associated with slander. kuchochea: continue to feed a fire with firewood.
>> ukambaa wa milele ulikata jiwe. --	the rope [of the well] by constant rubbing cuts the stone. ukambaa, a cord of plaited palm-leaf strips; coconut fibers.
>> ukaonapi (or ujaonapi) mnandi kujenga nyumba kutwani (or barani)? --	when have you ever seen a cormorant build its nest westwards [on the mainland]? this proverb is- tied up with legend. the cormorant is thought to build its nest as a kind of white sponge just above water level. it is used to explain that people generally act in their own accustomed way. don't believe all that people tell you. kutwani: where the sun sets; inlands. mnandi: cormorant, a voracious seabird.
>> ukarimu wa maskini hupotea kwa roho. --	generosity of the poor is a failure of the soul. the poor's desire of being generous cannot be fulfilled.
>> ukata ukimpata kiumbe hukata. --	when poverty gets to a person it really hits.
>> ukelele wa shundi ni mmoja. --	the songs of the coucal birds are all the same. one sings and all answer in the same tune. all other birds imitate the shundi. shundi, dudumizi, gude, tipitipi: the white-browed coucal.
>> ukenda kwa wenye chongo, [nawe] vunja lako jicho. --	when you visit one-eyed people, destroy also your own eye. one must howl with the wolves. when in rome, do as the romans. if you want to be more shrewd than your companions you are taking risks. ukenda kwa mwenye chongo, nawe fumba lako jicho. if you go visiting a person with one eye, you better close also one eye. ukikaa mji wa mwenye chongo, nawe vunja lako jicho. if you live in a village of a one-eyed person, destroy also one of your eyes.
>> ukibebwa usilevye-levye miguu. --	if you are carried don't slacken your legs. try to cooperate and make helping you easier.
>> ukibeza la [ya] mkuu, utaona makuu. --	if you scorn [the advice] of your elder, you'll see evil happenings.
>> ukibomoa tofali, jenga kwa mawe. --	if you destroy [your house of] bricks, build with stones.
>> ukicha kutajwa (or kusemwa), hutatenda jambo. --	if you are afraid to be talked about, you will not do anything.
>> ukicheza na mbwa utaingia msikitini. --	if you play with a dog, you'll enter the mosque [for purification]. playing with a dog makes a person unclean
>> ukicheza na mjinga atakutoboa jicho. --	if you play with a fool, he'll pierce your eye. fools set stools for wise men to stumble at.
>> ukicheza ujanani utalipa uzeeni. --	if you play while young, you will pay when old.
>> ukichungua alacho kuku hutamla. --	if you observe what a chicken eats, you will not eat the chicken. if one knew all the difficulties involved in a project, one might not have started it. "do not ask too many questions". "if you spy on your wife, she'll escape you"
>> ukidhihaki shombo humli samaki. --	if you joke about fish smell, don't eat fish. if you laugh at the fishermen smelling badly, you won't get fish.
>> ukienda mbele - usisahau kutazama nyuma. --	if you go forward - don't forget to look back. remember where you came from.
>> ukienda njia ya pofu, utapofua lako jicho. --	if you go the way of the blind, you will blind your own eye. if you follow bad examples you'll become bad.
>> ukienda pemba, uvae kilemba. --	if you go to pemba, you should wear a turban.
>> ukienda rumi, fanya wafanyavyo warumi. --	if you go to rome, do as the romans do.
>> ukienda usiage, ukirudi u mgeni wa nani? --	if you leave without saying goodbye, coming back who will invite you?
>> ukienda, ya roho y --	akufuata, ya macho yawachwa. if you go, [the wishes] of the heart follow you, the visible things are left behind.
>> ukifa usiogope kuoza. --	if you die don't be afraid to decompose. accept the inevitable.
>> ukifumba (or ukivimba) jicho, tega sikio. --	if your eye is swollen [closed], be sure to listen.
>> ukigombana na mama asiye mama yako, ni kuchokoza midomo bure. --	to dispute with your stepmother is to tire your lips for nothing. a stepmother does not have the same sentiments as a mother.
>> ukihama mji, haifai kunya mavi. --	if you move your homestead, it's not nice to leave your excrement behind. don't leave a bad reputation behind you.
>> ukiingia nyumbani tazama nyuso. --	when you enter a house look at the faces.
>> ukiingilia lisilokuhusu, utapata lisilokuridhi. --	if you interfere with things that don't concern you, you'll get what does not please you. cf. 1008, 4389.
>> ukiiona zinduna, ambari iko nyuma. --	if you see amber, ambergris is not far behind. association of two things. if you see one you are bound to see the other. zinduna, a fossil gum-copal, is found on the beaches. a perfume like incense and burns on charcoal. ambari, a wax-like substance found floating in tropical seas, and in intestines of sperm whales. it is odoriferous and used in perfumery and cooking. ambergris: ambre gris. ambergris was eaten to become more virile.
>> ukiipata itumie: ukikosa ijutie. --	if you get it, use it; if you miss it, regret it. usage: of people who become arrogant when in power; when they lose their power they'll get their due.
>> ukiitwa nenda ukakatae ulichoitiwa. --	if you are called, go, you might refuse to do what you are called for.
>> ukijifanya asali nzi wote watakula. --	if you make yourself [like] honey all the flies will devour you
>> ukijua kucheka ujue kununa. --	if you know to laugh you should also know to sulk. nuna, grumble, show discontent. complain, be sullen, sulk.
>> ukijua kupiga, ujue kuepa. --	if you know how to hit, you should also know how to fend.
>> ukijua kusuka ujue na kunyoa. --	if you know how to plait [the hair], you should also know how to shave.
>> ukijua sana na jua litakuchoma sana. --	if you know much, the sun [that knowledge] also will burn you much. the meaning is that if you think that you are good at something, that knowledge could also backfire. this seems to be a poor play on the word jua. as a verb it means to know, but as a noun it has the meaning of sun.
>> ukikaa karibu na waridi huachi kunukia. --	if you stay close to roses, you'll have a nice smell.
>> ukikaa na kilabu hupati kitu [ila] aibu. --	if you stay with the club, you won't get anything but shame. kilabu is not in swahili dictionaries. it is derived from the english club and has two meanings: rungu, a cudgel and a social group, a club.
>> ukikaa na simba, vaa ngozi ya mamba. --	if you live with a lion, wear the skin of a crocodile.
>> ukikaribia mjini, badilisha mavazi. --	if you approach a city, change your clothing. show respect to others.
>> ukikaribia mjini, jipukute vumbi. --	if you approach a city dust yourself.
>> ukikinai kidogo, mola atakupa kingi. --	if you are content with little, god will give you much more. ukikinai or ukitosheka, be satisfied.
>> ukikomboa mtumwa atarudi utumwani. --	if you redeem a slave, he/she will return to slavery. people get back to their old habits, until they redeem themselves.
>> ukikopesha - utajitafutia maadui. --	if you start lending - you'll look for enemies.
>> ukikosa shukuru, kupata kuna mungu. --	if you lack it give thanks; receiving things depends on god.
>> ukila chakula cha wizi, uangalie juu. --	if you eat stolen goods, look up.
>> ukila cha mbwa, usishindwe mbio. --	if you eat what belongs to a dog, you must be an expert runner. if you lower yourself, you must expect being treated as such
>> ukila cha radi, macho juu. --	if you eat what belongs to lightning, look up [skywards]
>> ukila kuku - sitazame (or usiulize) chakula chake. --	if you eat chicken - don't look [don't ask] what it eats.
>> ukilala na mambo hulala. --	if you sleep, your business too will sleep.
>> ukilala nje yanapita. --	if you sleep away, things will pass you by.
>> ukilamba vyanda, watu wakichunga, watakwambia baadaye. --	if you lick your fingers, while people are watching, they will later talk about you. do not show greed.
>> ukila na jahili usimshitue. --	if you eat with a cruel people, don't startle them. if you cooperate with fools, be careful to tell them what you are doing, because they could make things difficult for you. jahili, mjinga, baradhuli: a fool, ignorant, cruel.
>> ukila na kipofu, mridishe. --	if you eat with a blind people, satisfy them. ridisha: cause to be content, satisfy, please.
>> ukila na kipofu, ujitahidi. --	if you eat with a blind person be careful. don't eat from that person's side of the plate. "the cultural image that is used, is one which is still frequently seen: at meals many swahili families do not have a separate plate for each person, but they eat, usually two together from one plate, each one scooping up some rice, meat and vegetables and kneading it into a ball. the implication is, of course, that the blind person does not know that you are eating together, and the blind person upon discovering may be furious, for you have stolen food from the plate and taken abject advantage of that person's blindness". n.b.: the expression "kula na kipofu" means to exploit others without their knowing that they are exploited.
>> ukila na lupao, usisahau mkono. --	if you eat with a spoon, don't forget your hand. many people used their fingers instead of a spoon or fork while eating. if you have climbed the social ladder, don't forget those who did not. lupao or kijiko: spoon.
>> ukila na ndege, ukumbuke kuku. --	if you eat with the birds, remember the chicken. inviting a visitor for a meal must not harm your family.
>> ukila na ndege, ule na kuku. --	if you eat with the birds, eat also with the chickens.
>> ukila na timsaha, hutapata nyingi raha. --	if you want to eat with the crocodile, you will not have much pleasure. do not be too ambitious; stay with your own people. timsaha [dialect], mamba, ngwena: crocodile.
>> ukila pamwe na namiri, igiza zao desturi. --	if you eat with the leopards, imitate their habits.
>> ukila samaki angalia mwiba. --	if you eat fish look out for a bone.
>> ukila utakapo - wemdako pia utakula. --	if you eat where you want, the place where you go will also eat you.
>> ukilima-lima uinuke, ni vitu vya walaji wengi. --	if you work hard on your farm, look up [you are preparing] food for many mouths. greater activity profits others
>> ukilima pantosha, utavuna pankwisha. --	if you farm 'what's enough for me," you will harvest "what is finished." if you farm a small piece of land only, you'll have a small harvest. to encourage people to work well. pantosha for pananitosha: what is enough for me. pankwisha for pamekwisha: what's finished.
>> ukilipa deni waweza kukopa. --	if you pay your debt you can borrow [again].
>> ukimficha jogoo kwenye pakacha kuna wakati atawika. --	if you hide a rooster in a basket, he will crow sometime. people will know about it.
>> ukimfungia kambuluku mzigo, uangalie miguu yake. --	if you burden a dwarf antelope, observe its legs. the legs are very thin.
>> ukimkuta mtu mfupi penye njiapanda, hutamkuta mtoto. --	if you meet a short person at the crossroad, don't take him/her for a child. lit., you will not meet a child. when the sukuma meet a short person [a pygmy], the pygmy will ask where did you see me [wanibonerahe?], and the sukuma will say: "i saw you from very very far", in order not to anger the pygmy. they call pygmies: wanibonerahe.
>> ukimlea mwana mwema, na mui mlelee; mwema ukimpa mchele, mui mpe chelele. --	if you bring up a good child, bring up also the bad one; if you give rice to the good one, give rice husks to the bad one. do not throw out the bad child, give it something.
>> ukimnyang'anya mtoto chikichi, umnyanganye na vitunguu vya pori. --	if you take away palm nuts from a child, take away also the wild onions. being too strict in educating a child is harmful.
>> ukimpa mtu kazi pataneni na ujira. --	if you give a person work [first] agree upon the wages.
>> ukimpa mwenzio zawadi, furaha uijaze fuadi. --	when you give your friend a gift, let joy fill your heart. "do not fret about it". fuadi or moyo, heart.
>> ukimpa paka utumbo, mwenyewe utakula nini? --	if you give the tender meat of the belly to the cat, what are you going to eat yourself? an ironical question asked a miser, who under pretext that the cat needs choice food, does not feed a poor person. utumbo: intestines, guts. the tender fatty intestines.
>> ukimpa popo, mpe na wenye huzuni. --	if you give to the bat [the announcer of grief], give also to the ones who are grieving. 
>> ukimpiga kuku wamtafuta mwenye kuku huyo. --	if you hit another's chicken, you find the owner of that chicken [and have a quarrel].
>> ukimtaka baniani umtake na ubinda wake. --	if you like a baniani, you must like his loincloth too. the meaning is that if you like somebody you must take that person as is. baniani or banyani: hindu; indian tradesman or craftsman. ubinda: a type of loincloth worn by some indians in east africa.
>> ukimtendea mwizi vizuri, mwishowe atakuibia. --	if you treat a thieves nicely, they'll rob you at the end.
>> ukimtukana chura upele, mtu husema: unanitukana mimi. --	if you insult a frog for its pimples, someone will say, "you insult me." bad insinuations addressed to someone will provoke another, thinking that you spoke about him.
>> ukimwamsha aliyelala, utalala wewe. --	if you wake up one who sleeps, you will sleep yourself.
>> ukimwiga tembo kunya utapasula mkundu. --	if you want to match the heap left behind by the elephant, something will give. don't try to do things too big for you, such as living beyond your means.
>> ukimwoa mke mpya, hutamsahau wa zamani. --	if you marry a new wife, you will not forget the old one. the man with several wives must preserve the rank of his first wife.
>> ukimwombea kifo mama kambo, kifo hicho humchukua mama yako. --	if you ask for your stepmother's death, the death will take your mother. wishing someone evil comes back to you for the worst. baba kambo, mama kambo, ndugu kambo, stepfather, stepmother, stepbrother or sister.
>> ukimwona akipekua kwa mkia, alifanya hivyo mbeleni. --	if you see it pecking at its tail, it did that also in front. pekua, peck like a hen, search diligently, be curious, inquisitive.
>> ukimwona buku mchana, ni siafu. --	if you see the buku rat during daytime, it's on account of the safari ants. an unusual happening has its reason. buku: a very large long-tailed rat, also called ndezi.
>> ukimyang'anya mtoto muwa, umwachie makamasi yake. --	if you take away sugar cane from your child, leave its snot. parents who expect their child to be perfect delude themselves. a divorced wife has the right to compensations for the services given to the household she is leaving.
>> uking'wafua mnofu, ukumbuke [na] kuguguna mfupa. --	if you consume the tender meat, don't forget to chew the bone. during peace and joy don't forget that hardship may come. work started should be finished.
>> ukioa bibi ueneze kino na mtwangio. --	if you take a wife, make also room for the pestle and mortar. mtwangio (kitabwa dialect) for mchi: pestle.
>> ukiogopa kutumia fimbo, uta[m]haribu mtoto. --	if you are afraid to use the stick, you'll harm [spoil] the child.
>> ukioka samaki, huwezi kuondoa manyoya ya kuku. --	if you bake fish, you cannot pluck a chicken at the same time. one must not have too many irons in the fire. do one thing at a time.
>> ukiokota njelani, yafaa kuvumulia machafu. --	if you collect lianas, you better be ready to suffer dirt. lianas for basket making must be split and scraped, releasing lots of dirty matter. a person who marries must be ready to support the family. njelani (kingwana dialect) also bugu, kamba: liana, tropical creeper.
>> ukiona ambari na zinduna iko nyuma. --	if you see zabadi musk you find also zinduna close by. zabadi, civet, musk taken from the civet cat. note: "ambari, ambarum, species odoramenti; nomen piscis marini magni; ambergris, an odoriferous substance which is said to be eaten as a clammy matter by the whale at the bottom of the sea and then cast off in the excrements. ambergris found at mombasa must be given to the. government under penalty to the offender. this is owing to the great valueattached to the ambari. the natives tell a story about an island in the indian ocean, whither the whales resort, and where the matter is found at the bottom of the sea. fishermen are sometimes attracted and guided by the. multitude of birds pouncing upon the ambari as it floats on the surface of the sea"
>> ukiona [chombo] kikielea kimeundwa. --	if you see [a boat] that floats, it has been created. things have to be done well and must not be taken for granted.
>> ukiona chungu kipya, usitupe cha zamani. --	if you see a new cooking pot, don't throw away the old one. all new things are not always better than the old ones.
>> ukiona kwako kumepasuka, kwa mwenzio kumevunjika. --	if you see a tear in yours, your neighbor's is spoiled.
>> ukiona kwako kunaungua, kwa mwenzako kunateketea. --	if you see your house on fire, [you may be sure that] your neighbor's is burning even more fiercely. if you suffer a loss, think about the much greater loss of others.
>> ukiona kwako kwafuka, kwa mwenzio kwawaka. --	if you see smoke at your place, your neighbor's is burning. said to a person who laments about his misfortune as the end of the world.
>> ukiona masikini, au mtu musibani, muawini usihini. --	if you see poor people, or those struck by disaster, help them, do not hold back. hini or nyima, deny, refuse. muawini, or mwawini (from auni), assist, aid help. musibani, msibani (from sibu), also, shidani, calamity, disaster, misfortune.
>> ukiona ndwee ikishindana na dawa, mganga sijisumbue, pana jambo litakuwa. --	when you see a disease struggling with medical treatment, doctor, don't be upset, something will happen.
>> ukiona neno, usinene neno: ukinena neno litakujia neno. --	if you see anything, do not say anything; if you say anything, something will happen to you.
>> ukiona neno, usiposema neno, hupatikani na neno. --	if you see something and say nothing, you will not suffer.
>> ukiona sahani moja katika salala, zamani ilikuwa ikitiliwa chakula. --	if you see a plate on the rubbish heap [remember] formerly food was put on it. have respect for old age
>> ukiona tembo, hutapata hasara: lakini ukiona siafu utapata. --	if you see an elephant you will not suffer damage, but if you see [red] ants you will. often it is possible to avoid the great dangers, but not the small ones.
>> ukiona umeolewa umeoa. --	if you are predestined to be married, you are married. to be destined by god. what god has decreed will happen. sacleux. olewa: to be taken in marriage.
>> ukiona unga wako waungua, wa mwenzio watateketea. --	if you see that your cake is burning, think that your partner's is reduced to ashes. 
>> ukiona vinaelea, vimeundwa. --	when you see them float, [remember] they have been built. vyaelewa, vyaundwa. they float, they have been made.
>> ukiona zabadi na zinduna i papo. --	if you see zabadi musk you find also zinduna close by. zabadi, civet, musk taken from the civet cat. note: "ambari, ambarum, species odoramenti; nomen piscis marini magni; ambergris, an odoriferous substance which is said to be eaten as a clammy matter by the whale at the bottom of the sea and then cast off in the excrements. ambergris found at mombasa must be given to the. government under penalty to the offender. this is owing to the great valueattached to the ambari. the natives tell a story about an island in the indian ocean, whither the whales resort, and where the matter is found at the bottom of the sea. fishermen are sometimes attracted and guided by the. multitude of birds pouncing upon the ambari as it floats on the surface of the sea"
>> ukipanda mvule, uvumilie matone yake. --	if you plant a mvule tree, suffer its drops. mvule is a hardwood tree, not eaten by termites. instead of the mvule the mlumba tree is also used
>> ukipanda mvumo, uvumilie jongoo. --	if you plant the borassus palm, suffer also the centipedes [that live in the palm].
>> ukipanda upepo, utavuna dhoruba. --	if you sow the wind, you will harvest a hurricane. one must suffer the consequences of one's deeds.
>> ukipasua ujue kushona. --	if you tear [clothing], you must know how to sew.
>> ukipata bahati mbaya, usiangalie kichoko. --	if you get bad luck, don't look at the pain. don't give up in despair.
>> ukipata bure, toa bure. --	if you got it free [for nothing], give it free.
>> ukipata chungu kipya, usitupe kile cha zamani. --	if you get a new waterpot, don't throw away the old one. don't reject what is still used, even if it has lost its shine; the new spouse must not despise the older woman. ukipata chungu kipya, usisahau kigae. if you get a new stone pot, don't forget the old potsherd.
>> ukipata, kinyakua. --	if you get it, grasp it. hold what you have, take what you can
>> ukipata kitumie, ukikikosa kijutie. --	if you obtain something enjoy it, if you miss it, regret it.
>> ukipata kitumie, ukikosa jishukurie. --	if you get it, use it; if you lack it, be patient in it. take the good with the evil.
>> ukipata kitumie, ukikosa jishukurie. --	if you obtain something, use it; if you lack it, be grateful. the meaning is to be grateful to god, the giver of gifts, hoping that god will reward you for your attitude. if you are grateful for half a loaf god will give you a whole one.
>> ukipata mali nyingi, usisahau ndugu yako. --	if you become rich, don't forget your sibling.
>> ukipenda damu upende na usaha. --	if you love blood, love pus too. if you love people in health or wealth, love them also in sickness and poverty.
>> ukipenda ghafi utaona safi. --	if you like dirt, you'll become clean. to obtain good things one must go through hardship.
>> ukipenda karanga, upakatie kikalangio. --	if you love roasted peanuts, get yourself a potsherd [a plate]. make some effort from your part, don't expect everything from others. no work no gain. kikalangio (maniema dialect) [kigae; kikaya]: an earthen pot used as a stove for charcoals
>> ukipenda mtu, upende na mbwa wake. --	if you love someone, love also his dog.
>> ukipenda, penda chako. --	if you love, love what is yours.
>> ukipewa shubiri usichukue pima. --	if you are given a span, do not take a fathom. shubiri: a span, from thumb to little finger of the open hand, about nine inches. pima: a fathom, two yards, the stretch of a man's arms. ukipewa shubiri usitake reale. if you are given a span, don't desire a reale. reali or rea: a german crown or dollar, that was current on the swahili coast. its name is derived from the portuguese and spanish coin real.
>> ukipoteza mshale, tupa ngeu. --	if you have lost your arrow, throw away the quiver. ngeu, red color, blood, headwound, a carpenter's marker. (an informant translated ngeu by quiver. but it could also mean the bowman's marker, bull's eye, target).
>> ukirithi jina urithi na mambo yake. --	if you inherit a name you must also adopt its affairs. if appointed you must fulfill all the. obligations attached. mambo has often the meaning of bad things, e.g., debts.
>> ukiruka kikorongo uagane na nyonga. --	if you fly as a heron take leave of your hips. take the necessary means to succeed. 
>> ukisema kwangu kwaungua, kwa mwenzio kwateketea. --	if you say that my house is on fire, [you should know] that your friend's house is burning [even more fiercely].
>> ukishiba kwa chakula himidi mwenye jalali. --	when you are satisfied with your food, praise god's majesty. himidi: thank, praise, esp. of praise to god. jalali, the glorious one.
>> ukishiba usimwonyeshe mung¸u tumbo. --	when you are satiated, don't show god your belly. don't boast about your possessions and accomplishments.
>> ukishindwa kupasua jiwe, linyanye. --	if you cannot cut the stone lift it. give it a place of prominence.
>> ukisikia mtu, ni kula. --	if you hear somebody, it's eating. eating is necessary for men's survival and is on the foreground of men's conversation.
>> ukisikia vuli yaja, kazi za shamba hakonde huzudi. --	upon hearing that the rains are near, the work of clearing the fields increases.
>> ukisisitiza amani huleta ugomvi. --	if you admonish constantly about peace you provoke a quarrel.
>> ukisitaajabu ya musa utaona ya firauni. --	if you are amazed at moses' deeds, you will be more amazed at pharaoh's. moses declared himself to be a prophet, but pharaoh declared himself to be god.
>> ukistaajabu ya chawa huona ya kunguni. --	if you wonder at a louse's, you will find a bug's
>> ukistahi mke ndugu huzai naye. --	if you revere your wife as a relative you will not have a child from her.
>> ukistahi mke ndugu huzai naye. --	if you revere your wife as a sister, you will not have a child with her. if you venerate a person, even not seeing that person's misbehavior, you'll end up a loser. if a person is not ashamed to treat you badly, you should not be ashamed to tell that person openly. quest: revere, venerate, honor.
>> ukisubiria hutakosa jambo. --	if you are patient, you will lack nothing.
>> ukitafuta shari utaipata. --	if you are looking for adversity, you'll find it. if you look for a fight, you'll find one. shari: strife, ill luck, mischief.
>> ukitaja nyoka, shika fimbo mkononi. --	when you mention a snake get hold of a stick.
>> ukitaja nyoka, shika kigongo. --	if you talk about a snake grasp a cudgel. "devil is never nearer than when we are talking of him." or rather: if you call somebody a name, be ready for a fight.
>> ukitaka amani, jitayarishe kwa vita. --	if you want peace, prepare yourself for war.
>> ukitaka chakula wakati wa masika, ujikaze. --	if you want food during the raining season, start working masika is the time to cultivate and it is when most from the last harvest has been consumed.
>> ukitaka kubugia unga, uwe na mate ya kutosha. --	if you want to chew flour, be sure you have enough saliva. before starting reflect on the possibility and the tools you need. bugia: throw a little something in the mouth, such as groundnuts.
>> ukitaka kujenga usione taabu kubomoa. --	if you want to build you must be willing to destroy.
>> ukitaka kujifunza, mwishowe utashinda, ukichoka hupotea. --	if you want to learn something you will succeed in the end, but if you give up, you will lose.
>> ukitaka kula mfu, kula wa kunona. --	if you want to eat meat, eat the best part.
>> ukitaka kula nguruwe, chagua aliyenona. --	if you want to eat pork, choose a fat pig. muslims are forbidden to eat pork. if you do a bad thing, do it big. the punishment is the same
>> ukitaka kula samaki, sharti ulowe. --	if you want to eat fish, you must become wet (or, you must fish). when you are fishing you must enter the water. about taking the proper means. loa: take something out of water. lowa: get wet.
>> ukitaka kumshinda panya, mnyime chakula. --	if you want to defeat a rat, deny it food.
>> ukitaka kuoga, usiogope baridi. --	if you want to take a bath, you should not be afraid of the cold.
>> ukitaka kusafiri, bwana-mwitu umkiri. --	if you want to travel, pay due respect to the master o£ the wilderness.
>> ukitaka kusaidiwa nawe saidia wenzako. --	if you want to be helped, help your neighbor. start helping others and you'll find helpers.
>> ukitaka kuzuia simba wasiingie mjini, fuga mbwamwitu. --	if you want to stop lions coming to town, raise jackals.
>> ukitaka mama aje, mfinye mtotoe. --	if you want the mother to come, pinch her child. interfering with somebody's property the owner will soon appear.
>> ukitaka mvua, usiogope matope. --	if you want rain, you must not be afraid of mud.
>> ukitaka nyumba njema utie msingi mwema. --	if you want a good house lay a good foundation. conclude a good marriage
>> ukitaka riba, sikio kuziba. --	if you want big profits, stop your ears. lest you hear the cries of your victims. riba: interest, overcharging, big prices. this is prohibited by islamic culture.
>> ukitaka siri ya mtungi uliza kata. --	if you want to know the secret of the waterpot, ask the cover. the cover is always with the pot and is present to all what is going on. kata: dipper, ladle, often made of coconut shell; calabash.
>> ukitaka uzuri sharti udhulike. --	if you want beauty, you must suffer pain. to achieve greatness one must work hard. whatever good thing you want, you'll have to pay for it. udhulike from udhi; give pain; grammatically should be uudhulike. but udhilike from dhila, to abase, does not require a double u and the proverb could be translated: if you want beauty, you will be debased. 
>> ukitazama nyuma sana, unaweza kurudi nyuma. --	if you look back too much, you may return there. don't dwell on past things.
>> ukitegemea cha jirani, utakufa maskini. --	if you count on your neighbor, you'll die a pauper.
>> ukitema kuni temato. --	if you cut firewood, cut it well. if you do a meaningful thing do it well.
>> ukitembea na macho angani, utajikwaa mguu. --	if you walk with your eyes fixed in the sky, you will stumble.
>> ukitembeza zaidi ulimi, kinywa kinaharibika. --	if you move your tongue too much, your mouth will be harmed. the silent people and the babblers are asocial people.
>> ukitemewa mate na wengi utaloana. --	if many spit on you, you'll be soaked. so, don't get in that situation.
>> ukitoka alfajiri, ujue kupania. --	if you go out at daybreak, know to lift up your clothing. because the grass is wet.
>> ukitolea habari, usinene kwa mafumbo. --	when you tell news, do not speak in riddles. do not slander by allusion.
>> ukitumaini cha jirani, utakuwa maskini. --	if you put your hope in your neighbor, you'll become poor.
>> ukiua nyoka, ukikate kichwa, usije kuumwa mara ya pili. --	when you kill a snake, cut off its head lest you be bitten a second time.
>> ukiujua huu, huu huujui. --	if you know this [side], that [side] you do not [necessarily] know. one cannot know everything: there is always more to learn. there is always someone who knows more about it.
>> ukiumia kwa kisu chako wewe mwenyewe, huwezi kukitupa. --	if you hurt yourself with your own knife, you can't throw it away. blame yourself, not the knife. one is more tolerant towards one's own.
>> ukivaa majani, waliwa na mbuzi. --	if you wear a grass skirt, you'll be eaten by goats. if you debase yourself, others will lower you still more.
>> ukivishwa kilemba na mfalme fidra vizuri. --	if the king praises you, play your violin well. fidra, fidla: a fiddle, violin. visha kilemba: to flatter.
>> ukiwaa (or ukiugua) uwe na subira. --	if you fall ill, have patience. recovery will take longer than you think. waa (lamu dialect),ugua: to be ill.
>> ukiwa mkazi jenga. --	if you are going to stay in a place, build a house. show your intentions clearly from the beginning.
>> ukiwa mkazi jenga; ukosefu wa mwenenzi si wa kazi milele. if you are going to stay in one place, build; mistakes of someone who is passing by are not comparable to those who reside for ever.
>> ukiwa mkubwa jisahihisha mwenyewe. --	if you are an important person, scrutinize your own behavior.
>> ukiwamo ghadhabuni, atakunyata shetani. --	it is when you are in anger that the devil will get hold of you.
>> ukiwa mwerevu sana jiwekee ujinga kidogo. --	if you are very clever cover yourself with a little ignorance.
>> ukiwa na kichwa uwe na fikara. --	if you have a head, you'd better think.
>> ukiwa na ngozi, usitamani ngozi zenyi mikia mirefu na mizuri. --	if you have a hide, don't desire others with nice long tails. don't lead a life above your means.
>> ukiwaona wenzako wakikimbia na wewe ukimbie. --	if you see your friends running, you too should run.
>> ukizoea vya kunyonga, vya kuchinja huviwezi [utakonda]. --	one who is used to strangling food, cannot eat slaughtered meat. this proverb refers to persons who prefer a life of hardship to a life of ease, or to those who like doing things "the hard way". a person who is too demanding comes in conflict with the rules accepted by society; and becomes offensive
>> uko chui, onyesha kucha zako. --	[if] you are a leopard, show your claws.
>> ukosapo, zidi kuomba. --	when you are in need, never stop praying.
>> ukosefu wa mwenenzi si wa mkazi milele. --	 traveller's straits are not so annoying as a constant inhabitant's. a grasshopper opening its eyes is not so bad as a leopard clenching his paw. an elephant's death-scene is not so annoying as the life of a bug.
>> ukubwa ni jaa. --	greatness is like a rubbish hole.
>> ukulivu huvuta ufukara. --	laziness causes poverty.
